frame,A_x,A_y,A_r,A_score,A_x_smooth,A_y_smooth,M_x,M_y,M_r,M_score,M_x_smooth,M_y_smooth,H_x,H_y,H_r,H_score,H_x_smooth,H_y_smooth,R_x,R_y,R_r,R_score,R_x_smooth,R_y_smooth,X,Y,Z,speed,goal_flag,goal_confidence
109,1080,562,4,,1087.5948,665.4845,1086,586,5,,874.7589,687.8527,485,726,4,,788.8158,603.3080,502,485,5,,1048.5661,486.7483,-0.2179,0.0560,0.0000,31.9149,0,
110,1077,562,4,,1087.4294,663.8689,1078,589,5,,876.8317,686.8445,,,,,,,520,486,5,,1042.2017,486.7393,0.2213,-0.3536,0.0000,,0,
111,1075,566,5,,1087.2383,662.3643,1072,594,6,,878.8021,685.9071,620,748,4,,786.3350,605.4342,530,488,5,,1036.1077,486.7543,-0.2321,0.0610,0.0000,,0,
112,1074,572,6,,1087.0379,660.9962,1068,598,5,,880.6932,685.0285,,,,,,,535,492,5,,1030.2158,486.8160,0.2387,-0.3301,0.0000,,0,
113,1072,580,6,,1086.8136,659.7882,1064,602,4,,882.5072,684.2068,755,590,16,,785.8812,605.2107,535,497,4,,1024.4608,486.9343,-0.2365,0.0750,0.0000,,0,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
115,1071,592,4,,1086.5812,658.7921,1060,611,4,,884.2464,683.4895,778,661,4,,785.7687,606.0071,1137,462,4,,1025.7536,486.6479,-0.2383,0.0760,0.0000,,0,
116,,,,,,,1057,619,4,,885.9229,682.8637,,,,,,,1515,440,4,,1031.3101,486.1181,-0.0138,0.5551,0.0000,31.7426,0,
117,,,,,,,,,,,,,818,584,5,,786.2224,605.6974,,,,,,,,,,,0,
118,,,,,,,898,728,5,,886.0389,683.2975,,,,,,,1723,427,4,,1039.0775,485.4542,0.0256,0.5562,0.0000,,0,
119,,,,,,,,,,,,,619,636,4,,783.9015,606.1180,1813,422,4,,1047.6718,484.7496,-0.4421,0.9457,0.0000,,0,
120,1089,629,4,,1086.6162,658.3606,642,795,5,,883.7158,684.3608,483,674,4,,779.7823,607.0472,1828,421,4,,1056.2422,484.0494,-0.2680,0.0730,0.0000,,0,
121,1100,662,5,,1086.8073,658.4126,489,834,8,,879.9939,685.7718,398,699,4,,774.6266,608.2890,1801,422,4,,1064.3330,483.3753,-0.2928,0.0665,0.0000,1.5391,0,
122,1117,692,9,,1087.2322,658.8853,411,851,9,,875.6128,687.3153,352,714,4,,768.9953,609.6975,1754,424,4,,1071.7448,482.7372,-0.3189,0.0571,0.0000,1.6608,0,
123,1134,719,9,,1087.8813,659.7196,360,852,5,,870.8408,688.8394,332,722,4,,763.2492,611.1742,1703,427,4,,1078.4567,482.1446,-0.3443,0.0455,0.0000,1.6789,0,
124,1150,743,9,,1088.7317,660.8597,350,848,7,,866.0646,690.2989,330,725,4,,757.6262,612.6515,1656,429,4,,1084.5329,481.5855,-0.3682,0.0324,0.0000,1.6330,0,
